INFO:root:Listening on port 5002
INFO:root:Connected by ('192.168.1.155', 45362)
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
INFO:root:Forwarded image_depth to Dora
INFO:root:Forwarded depth to Dora
